dataset_id,dataset_authors,humeral_motion,thoracohumeral_sequence,thoracohumeral_angle,joint,parent,child,euler_sequence,rotation_absolute,origin_displacement,displacement_cs,displacement_absolute,is_data_mean,shoulder_id,side,source_extraction,folder,dof_1st_euler,dof_2nd_euler,dof_3rd_euler,dof_translation_x,dof_translation_y,dof_translation_z
#1,Begon et al.,sagittal plane elevation,zy'z'',y',sternoclavicular,thorax,clavicle,zy'x'',True,SC,parent,False,False,2,left,authors table,#1_Begon_et_al,SC_Protraction_elevationSagittal_2_closest_to_mean.csv,SC_elevation_elevationSagittal_2_closest_to_mean.csv,SC_rotation_elevationSagittal_2_closest_to_mean.csv,SC_medTranslation_elevationSagittal_2_closest_to_mean.csv,SC_antTranslation_elevationSagittal_2_closest_to_mean.csv,SC_supTranslation_elevationSagittal_2_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 0 degree-abducted,zy'z'',z'',glenohumeral,scapula,humerus,zy'z'',True,GH,parent,False,False,2,left,authors table,#1_Begon_et_al,GH_planeElevation_rotation0Abd_2_closest_to_mean.csv,GH_elevation_rotation0Abd_2_closest_to_mean.csv,GH_IntRotation_rotation0Abd_2_closest_to_mean.csv,GH_medTranslation_rotation0Abd_2_closest_to_mean.csv,GH_antTranslation_rotation0Abd_2_closest_to_mean.csv,GH_supTranslation_rotation0Abd_2_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 0 degree-abducted,zy'z'',z'',scapulothoracic,thorax,scapula,zy'x'',True,SC,parent,False,False,2,left,authors table,#1_Begon_et_al,ST_Protraction_rotation0Abd_2_closest_to_mean.csv,ST_medRotation_rotation0Abd_2_closest_to_mean.csv,ST_tilt_rotation0Abd_2_closest_to_mean.csv,ST_medTranslation_rotation0Abd_2_closest_to_mean.csv,ST_antTranslation_rotation0Abd_2_closest_to_mean.csv,ST_supTranslation_rotation0Abd_2_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 0 degree-abducted,zy'z'',z'',acromioclavicular,clavicle,scapula,zy'x'',True,AC,parent,False,False,2,left,authors table,#1_Begon_et_al,AC_Protraction_rotation0Abd_2_closest_to_mean.csv,AC_medRotation_rotation0Abd_2_closest_to_mean.csv,AC_tilt_rotation0Abd_2_closest_to_mean.csv,AC_medTranslation_rotation0Abd_2_closest_to_mean.csv,AC_antTranslation_rotation0Abd_2_closest_to_mean.csv,AC_supTranslation_rotation0Abd_2_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 0 degree-abducted,zy'z'',z'',sternoclavicular,thorax,clavicle,zy'x'',True,SC,parent,False,False,2,left,authors table,#1_Begon_et_al,SC_Protraction_rotation0Abd_2_closest_to_mean.csv,SC_elevation_rotation0Abd_2_closest_to_mean.csv,SC_rotation_rotation0Abd_2_closest_to_mean.csv,SC_medTranslation_rotation0Abd_2_closest_to_mean.csv,SC_antTranslation_rotation0Abd_2_closest_to_mean.csv,SC_supTranslation_rotation0Abd_2_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 90 degree-abducted,zy'z'',z'',glenohumeral,scapula,humerus,zy'z'',True,GH,parent,False,False,2,left,authors table,#1_Begon_et_al,GH_planeElevation_rotation90Abd_2_closest_to_mean.csv,GH_elevation_rotation90Abd_2_closest_to_mean.csv,GH_IntRotation_rotation90Abd_2_closest_to_mean.csv,GH_medTranslation_rotation90Abd_2_closest_to_mean.csv,GH_antTranslation_rotation90Abd_2_closest_to_mean.csv,GH_supTranslation_rotation90Abd_2_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 90 degree-abducted,zy'z'',z'',scapulothoracic,thorax,scapula,zy'x'',True,SC,parent,False,False,2,left,authors table,#1_Begon_et_al,ST_Protraction_rotation90Abd_2_closest_to_mean.csv,ST_medRotation_rotation90Abd_2_closest_to_mean.csv,ST_tilt_rotation90Abd_2_closest_to_mean.csv,ST_medTranslation_rotation90Abd_2_closest_to_mean.csv,ST_antTranslation_rotation90Abd_2_closest_to_mean.csv,ST_supTranslation_rotation90Abd_2_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 90 degree-abducted,zy'z'',z'',acromioclavicular,clavicle,scapula,zy'x'',True,AC,parent,False,False,2,left,authors table,#1_Begon_et_al,AC_Protraction_rotation90Abd_2_closest_to_mean.csv,AC_medRotation_rotation90Abd_2_closest_to_mean.csv,AC_tilt_rotation90Abd_2_closest_to_mean.csv,AC_medTranslation_rotation90Abd_2_closest_to_mean.csv,AC_antTranslation_rotation90Abd_2_closest_to_mean.csv,AC_supTranslation_rotation90Abd_2_closest_to_mean.csv
#1,Begon et al.,internal-external rotation 90 degree-abducted,zy'z'',z'',sternoclavicular,thorax,clavicle,zy'x'',True,SC,parent,False,False,2,left,authors table,#1_Begon_et_al,SC_Protraction_rotation90Abd_2_closest_to_mean.csv,SC_elevation_rotation90Abd_2_closest_to_mean.csv,SC_rotation_rotation90Abd_2_closest_to_mean.csv,SC_medTranslation_rotation90Abd_2_closest_to_mean.csv,SC_antTranslation_rotation90Abd_2_closest_to_mean.csv,SC_supTranslation_rotation90Abd_2_closest_to_mean.csv
#2,Bourne et al.,frontal plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,1,left,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_1.csv,ST_medRotation_elevationFrontal_1.csv,ST_tilt_elevationFrontal_1.csv,,,
#2,Bourne et al.,frontal plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,2,left,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_2.csv,ST_medRotation_elevationFrontal_2.csv,ST_tilt_elevationFrontal_2.csv,,,
#2,Bourne et al.,frontal plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,3,left,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_3.csv,ST_medRotation_elevationFrontal_3.csv,ST_tilt_elevationFrontal_3.csv,,,
#2,Bourne et al.,frontal plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,4,left,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_4.csv,ST_medRotation_elevationFrontal_4.csv,ST_tilt_elevationFrontal_4.csv,,,
#2,Bourne et al.,frontal plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,5,left,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_5.csv,ST_medRotation_elevationFrontal_5.csv,ST_tilt_elevationFrontal_5.csv,,,
#2,Bourne et al.,frontal plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,6,left,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_6.csv,ST_medRotation_elevationFrontal_6.csv,ST_tilt_elevationFrontal_6.csv,,,
#2,Bourne et al.,frontal plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,7,left,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_7.csv,ST_medRotation_elevationFrontal_7.csv,ST_tilt_elevationFrontal_7.csv,,,
#2,Bourne et al.,horizontal flexion,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,1,left,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_1.csv,ST_medRotation_horizontalFlexion_1.csv,ST_tilt_horizontalFlexion_1.csv,,,
#2,Bourne et al.,horizontal flexion,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,2,left,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_2.csv,ST_medRotation_horizontalFlexion_2.csv,ST_tilt_horizontalFlexion_2.csv,,,
#2,Bourne et al.,horizontal flexion,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,3,left,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_3.csv,ST_medRotation_horizontalFlexion_3.csv,ST_tilt_horizontalFlexion_3.csv,,,
#2,Bourne et al.,horizontal flexion,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,4,left,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_4.csv,ST_medRotation_horizontalFlexion_4.csv,ST_tilt_horizontalFlexion_4.csv,,,
#2,Bourne et al.,horizontal flexion,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,5,left,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_5.csv,ST_medRotation_horizontalFlexion_5.csv,ST_tilt_horizontalFlexion_5.csv,,,
#2,Bourne et al.,horizontal flexion,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,6,left,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_6.csv,ST_medRotation_horizontalFlexion_6.csv,ST_tilt_horizontalFlexion_6.csv,,,
#2,Bourne et al.,horizontal flexion,zy'z'',y',scapulothoracic,thorax,scapula,zy'x'',True,,,,False,7,left,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_7.csv,ST_medRotation_horizontalFlexion_7.csv,ST_tilt_horizontalFlexion_7.csv,,,
#3,Chu et al.,frontal plane elevation,yx'y'',x',scapulothoracic,thorax,scapula,yx'z'',True,,,,True,,right,engauged,#3_Chu_et_al,ST_protraction_elevationFrontal.csv,ST_medRotation_elevationFrontal.csv,ST_tilt_elevationFrontal.csv,,,
#3,Chu et al.,scapular plane elevation,yx'y'',x',scapulothoracic,thorax,scapula,yx'z'',True,,,,True,,right,engauged,#3_Chu_et_al,ST_protraction_elevationScapular.csv,ST_medRotation_elevationScapular.csv,ST_tilt_elevationScapular.csv,,,
#3,Chu et al.,internal-external rotation 90 degree-abducted,yx'y'',y'',scapulothoracic,thorax,scapula,yx'z'',True,,,,True,,right,engauged,#3_Chu_et_al,ST_protraction_rotation90Abd.csv,ST_medRotation_rotation90Abd.csv,ST_tilt_rotation90Abd.csv,,,
#4,Fung et al.,frontal plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zx'y'',True,,,,True,,both,authors table,#4_Fung_et_al,ST_protraction_FrontalPlane.csv,ST_medRotation_FrontalPlane.csv,ST_tilt_FrontalPlane.csv,,,
#4,Fung et al.,frontal plane elevation,zy'z'',y',sternoclavicular,thorax,clavicle,zx'y'',True,,,,True,,both,authors table,#4_Fung_et_al,SC_protraction_FrontalPlane.csv,SC_elevation_FrontalPlane.csv,SC_rotation_FrontalPlane.csv,,,
#4,Fung et al.,scapular plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zx'y'',True,,,,True,,both,authors table,#4_Fung_et_al,ST_protraction_ScapularPlane.csv,ST_medRotation_ScapularPlane.csv,ST_tilt_ScapularPlane.csv,,,
#4,Fung et al.,scapular plane elevation,zy'z'',y',sternoclavicular,thorax,clavicle,zx'y'',True,,,,True,,both,authors table,#4_Fung_et_al,SC_protraction_ScapularPlane.csv,SC_elevation_ScapularPlane.csv,SC_rotation_ScapularPlane.csv,,,
#4,Fung et al.,sagittal plane elevation,zy'z'',y',scapulothoracic,thorax,scapula,zx'y'',True,,,,True,,both,authors table,#4_Fung_et_al,ST_protraction_SagittalPlane.csv,ST_medRotation_SagittalPlane.csv,ST_tilt_SagittalPlane.csv,,,
#4,Fung et al.,sagittal plane elevation,zy'z'',y',sternoclavicular,thorax,clavicle,zx'y'',True,,,,True,,both,authors table,#4_Fung_et_al,SC_protraction_SagittalPlane.csv,SC_elevation_SagittalPlane.csv,SC_rotation_SagittalPlane.csv,,,
#5,Gutierrez Delgado et al.,frontal plane elevation,,"angle(yh,yt)",sternoclavicular,thorax,clavicle,yx'z'',True,,,,False,1,right,authors table,#5_Gutierrez_Delgado_et_al,array,array,array,,,
#5,Gutierrez Delgado et al.,sagittal plane elevation,,"angle(yh,yt)",sternoclavicular,thorax,clavicle,yx'z'',True,,,,False,1,right,authors table,#5_Gutierrez_Delgado_et_al,array,array,array,,,
#6,Henninger et al.,frontal plane elevation,yx'y'',x',glenohumeral,scapula,humerus,yx'y'',True,GH,parent,,False,1,right,authors table,#6_Henninger_et_al/6a_PA,GH_elevationPlane_elevationFrontal_1.csv,GH_elevationAngle_elevationFrontal_1.csv,GH_internalRotation_elevationFrontal_1.csv,GH_anttranslation_elevationFrontal_1.csv,GH_suptranslation_elevationFrontal_1.csv,GH_medtranslation_elevationFrontal_1.csv
#6,Henninger et al.,frontal plane elevation,yx'y'',x',glenohumeral,scapula,humerus,yx'y'',True,GH,parent,,False,2,right,authors table,#6_Henninger_et_al/6a_PA,GH_elevationPlane_elevationFrontal_2.csv,GH_elevationAngle_elevationFrontal_2.csv,GH_internalRotation_elevationFrontal_2.csv,GH_anttranslation_elevationFrontal_2.csv,GH_suptranslation_elevationFrontal_2.csv,GH_medtranslation_elevationFrontal_2.csv
#6,Henninger et al.,frontal plane elevation,yx'y'',x',glenohumeral,scapula,humerus,yx'y'',True,GH,parent,,False,3,right,authors table,#6_Henninger_et_al/6a_PA,GH_elevationPlane_elevationFrontal_3.csv,GH_elevationAngle_elevationFrontal_3.csv,GH_internalRotation_elevationFrontal_3.csv,GH_anttranslation_elevationFrontal_3.csv,GH_suptranslation_elevationFrontal_3.csv,GH_medtranslation_elevationFrontal_3.csv
#6,Henninger et al.,frontal plane elevation,yx'y'',x',glenohumeral,scapula,humerus,yx'y'',True,GH,parent,,False,4,right,authors table,#6_Henninger_et_al/6a_PA,GH_elevationPlane_elevationFrontal_4.csv,GH_elevationAngle_elevationFrontal_4.csv,GH_internalRotation_elevationFrontal_4.csv,GH_anttranslation_elevationFrontal_4.csv,GH_suptranslation_elevationFrontal_4.csv,GH_medtranslation_elevationFrontal_4.csv
#6,Henninger et al.,frontal plane elevation,yx'y'',x',glenohumeral,scapula,humerus,yx'y'',True,GH,parent,,False,5,right,authors table,#6_Henninger_et_al/6a_PA,GH_elevationPlane_elevationFrontal_5.csv,GH_elevationAngle_elevationFrontal_5.csv,GH_internalRotation_elevationFrontal_5.csv,GH_anttranslation_elevationFrontal_5.csv,GH_suptranslation_elevationFrontal_5.csv,GH_medtranslation_elevationFrontal_5.csv
#6,Henninger et al.,frontal plane elevation,yx'y'',x',glenohumeral,scapula,humerus,yx'y'',True,GH,parent,,False,6,right,authors table,#6_Henninger_et_al/6a_PA,GH_elevationPlane_elevationFrontal_6.csv,GH_elevationAngle_elevationFrontal_6.csv,GH_internalRotation_elevationFrontal_6.csv,GH_anttranslation_elevationFrontal_6.csv,GH_suptranslation_elevationFrontal_6.csv,GH_medtranslation_elevationFrontal_6.csv
#6,Henninger et al.,frontal plane elevation,yx'y'',x',glenohumeral,scapula,humerus,yx'y'',True,GH,parent,,False,7,right,authors table,#6_Henninger_et_al/6a_PA,GH_elevationPlane_elevationFrontal_7.csv,GH_elevationAngle_elevationFrontal_7.csv,GH_internalRotation_elevationFrontal_7.csv,GH_anttranslation_elevationFrontal_7.csv,GH_suptranslation_elevationFrontal_7.csv,GH_medtranslation_elevationFrontal_7.csv
#6,Henninger et al.,frontal plane elevation,yx'y'',x',glenohumeral,scapula,humerus,yx'y'',True,GH,parent,,False,8,right,authors table,#6_Henninger_et_al/6a_PA,GH_elevationPlane_elevationFrontal_8.csv,GH_elevationAngle_elevationFrontal_8.csv,GH_internalRotation_elevationFrontal_8.csv,GH_anttranslation_elevationFrontal_8.csv,GH_suptranslation_elevationFrontal_8.csv,GH_medtranslation_elevationFrontal_8.csv
